Old Family #,Family Name,Looked at?,Subproblem,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Title,Authors,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,odd-even sort - Batcher,1968,https://link.springer.com/article/10.1007/BF00991185,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,sorting network,510,,,,,,,,,0,,0,,,1,$O(n \log^2{n})$,12,,,"first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167 
mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf)
classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329
also https://link.springer.com/chapter/10.1007/BFb0028577",,,,,1,n is the size of the array to be sorted.,,,,,,,,99,10101.0101,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Bitonic sort - Batcher,1968,https://dl.acm.org/doi/abs/10.1145/1468075.1468121,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,,,sorting network,510,,,,,,,,,0,,0,,,1,$O(n \log^2{n})$,12,,,"mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref
also https://link.springer.com/chapter/10.1007/BFb0028577",,,,,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,Comparison Sorting,,"network sorting algo, perfect shuffle",,,,,,,,Batcher's bitonic sort using perfect shuffle - Stone,1971,https://ieeexplore.ieee.org/abstract/document/1671798,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log{n})$,11,,,n: size of list,,https://ieeexplore.ieee.org/abstract/document/1671798,,sorting network,510,,,,,,,,,0,,0,,,1,$n/2$,10,,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,Rezaul: The first O(log(n))-depth sorting network (AKS) was not discovered until 1983. -error should be resolved now,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,"n-sorter network, generalization of divide-sort-merge strategy",,,,,,,,Van Voorhis,1971,https://apps.dtic.mil/sti/citations/AD0737270,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref,,sorting network,510,,,,,,,,,0,,0,,,1,$0.25 n \log^2{n}-0.372 n \log{n}+O(n)$,12,,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,Shellsort on sorting networks- Pratt,1972,https://apps.dtic.mil/sti/citations/AD0740110 (pdf page 42 ish),1/1.58,,https://apps.dtic.mil/sti/citations/AD0740110,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,,,sorting network,510,,,,,,,,,0,,0,,,1,$n/2$,10,,,,,,,"Rezaul: Should be O(n log^2(n)) work. -corrected, should be resolved",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,"Parallel Neighborhood sort - Baudet, Stevenson",1975,https://kilthub.cmu.edu/articles/Optimal_sorting_algorithms_for_parallel_computers/6608162/files/12099023.pdf,,,,,,,,$O(n \log{n}/p +n)$,$O(n)$,10,,$O(n \log{n})$,11,https://kilthub.cmu.edu/articles/Optimal_sorting_algorithms_for_parallel_computers/6608162/files/12099023.pdf,"if p=log n
""optimal"" - 
speedup=p
efficiency=1","n: size of list
p: number of processors",,,,SIMD; MIMD,200,,,,,,,,,0,,0,,,1,$p=\log{n}$,1,,,,,,,"Rezaul: SIMD bounds hold for MIMD models (standard parallel machines), too. -added MIMD to model",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,"shared memory parallel sorting, enumeration",,,,,,,,Muller and Preperata,1975,https://dl.acm.org/doi/pdf/10.1145/321879.321882,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n^2)$,20,,,n: size of list,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,sorting network,510,,,,,,,,,0,,0,,,1,$O(n^2)$,20,,,"first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167, mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref",,,,Rezaul: Work is O(n^2). -resolved,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison Sorting,,,,,,,,,,"Drysdale, Young",1975,https://epubs.siam.org/doi/abs/10.1137/0204022; https://drive.google.com/file/d/1Ddnx6AO0IBsr4jlVvF5bBw28Av4ucakG/view,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,,,sorting network,510,,,,,,,,,0,,0,,,1,? $O(n \log^2{n})$,12,,,,,,,Rezaul: Here is a link to the article: https://drive.google.com/file/d/1Ddnx6AO0IBsr4jlVvF5bBw28Av4ucakG/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting,Non-Comparison Sorting; Integer Sorting,,,,,,,,,,Parallel bucket-sort - Hirschberg (1),1977,https://dl.acm.org/doi/abs/10.1145/359576.359582,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n \log{n}),11,,,"n: size of list (integers from range {0, 1, 2, ..., m - 1})",,https://dl.acm.org/doi/abs/10.1145/359576.359582,,SIMD-SM-R,210,,,,,,,,,0,,0,,,1,$n$,10,,,space complexity: O(nm),,,,"Rezaul: This is an integer sorting algorithm with integers coming from {0, 1, 2, ..., m - 1}. -included this info, should be resolved now",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting,Non-Comparison Sorting; Integer Sorting,,"""enumeration sorting""",,,,,,,,Parallel bucket-sort - Hirschberg (2),1977,https://dl.acm.org/doi/abs/10.1145/359576.359582,,,,,,,,$O(k \log{n})$,$O(\log{n})$,1,,$O(k \log{n} n^(1+1/k))$,16.1,,,"n: size of list
m-1: largest number in list works on arbitrary integers (and arbitrary not-necessarily integers)?
k: arbitrary int >=2",,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,SIMD-SM-R,210,,,,,,,,,0,,0,,,1,$n^(1+1/k)$,16,,,"space complexity: O(nm) O(n^2)?
first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167",,,,"Rezaul: The paper states under the inout specification for Algorithm 3 that the input numbers can be arbitrary integers. The algorithm does bucket sort on the ""count"" values which are integers in {0, 1, 2, ..., n }. So, the space requirement should be something like O(n^2). This bound needs to be carefully verified. But the bound is not O(mn) as m is not defined for these algorithms. However, I think these algorithms (starting from Algorithm 3) work for arbitrary numbers (not necessarily integers).",,,,,,,,,,,,,,,,,,,,,,
