Old Family #,Family Name,Looked at?,Subproblem,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,DOI,Authors,Number of Authors,Title,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Notes or Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains,Intractable
38,Optimal Binary Search Trees,2,,Approximate OBST,348,,,1,0,$O(n)$,,,[https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf Melhorn's Approximation algorithm (1975)],Melhorn's Approximation algorithm,1975,https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf,,['Kurt Mehlhorn'],1,['Nearly Optimal Binary Search Trees'],,,,0,0,3,n: 3,$O(n)$,10,"$H$: entropy of the distribution
$P_{opt}$:
$P_{balanced}$: 
$n$: number of elements",n,,,,,3,n: 3,$O(n)$,"https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf, storing left/right subtrees' weights",0,1,,0,,1,$0.63 H \leq P_{opt} \leq P_{balanced} \leq 2 + 1.44 H$,0,0,,0,0,,"an optimal binary search tree (Optimal BST); sometimes called a weight-balanced
 binary tree; is a binary search tree which provides the smallest possible search
 time (or expected search time) for a given sequence of accesses
 (or access probabilities). Optimal BSTs are generally divided
 into two types: static and dynamic.",,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics,FALSE
38,Optimal Binary Search Trees,2,,Approximate OBST,350,,,1,0,$O(n^{0.6})$,,,[https://citeseerx.ist.psu.edu/pdf/4af91d48d513fbcf64e277c07c17615c31726ec6 Karpinski (1996)],Karpinski,1996,https://citeseerx.ist.psu.edu/pdf/4af91d48d513fbcf64e277c07c17615c31726ec6,,"['Marek Karpinski', 'Lawrence L. Larmore', 'Wojciech Rytter']",3,['Sequential and Parallel Subquadratic Work Algorithms for Constructing Approximately Optimal Binary Search Trees'],,,,0,0,2.6,n: 2.6,$O(n^{0.6})$,6.5,$n$: number of elements,n,,,,,1,n: 1,$O(1)$,Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,1,$\epsilon = o(1)$,0,1,$n$,0,0,,"an optimal binary search tree (Optimal BST); sometimes called a weight-balanced
 binary tree; is a binary search tree which provides the smallest possible search
 time (or expected search time) for a given sequence of accesses
 (or access probabilities). Optimal BSTs are generally divided
 into two types: static and dynamic.",,,,,,,,,,63,,,,,,,,,1,,,Combinatorics,FALSE
38,Optimal Binary Search Trees,2,,Alphabetic Tree Problem,351,,,1,1,$O(n)$,,,[https://epubs.siam.org/doi/abs/10.1137/S0895480193256651?journalCode=sjdmec Klawe; Mumey (1993)],Klawe; Mumey,1993,https://epubs.siam.org/doi/abs/10.1137/S0895480193256651?journalCode=sjdmec,10.1137/S0895480193256651,"['Maria Klawe', 'Brendan Mumey']",2,['Upper and Lower Bounds on Constructing Alphabetic Binary Trees'],,,,0,0,3,n: 3,$O(n)$,10,$n$: number of elements,n,,,,,3,n: 3,$O(n)$,Derived: uses a worklist of size $O(n)$,1,0,,0,,0,,0,0,,0,0,,"an optimal binary search tree (Optimal BST); sometimes called a weight-balanced
 binary tree; is a binary search tree which provides the smallest possible search
 time (or expected search time) for a given sequence of accesses
 (or access probabilities). Optimal BSTs are generally divided
 into two types: static and dynamic.",,weights within constant factors of each other or exponentially separated,,,,,,,,1000,Inf,,1000000,Inf,,1000000000,Inf,,1,,,Combinatorics,FALSE
38,Optimal Binary Search Trees,2,,Approximate OBST,352,,,1,0,$O(n^{1.6})$,,,[https://www.sciencedirect.com/science/article/pii/0196677487900526 Larmore (1987)],Larmore,1987,https://www.sciencedirect.com/science/article/pii/0196677487900526,,['Lawrence L Larmore'],1,['A subquadratic algorithm for constructing approximately optimal binary search trees'],,,,0,0,4.6,n: 4.6,$O(n^{1.6})$,16.4,$n$: number of elements,n,,,,,3,n: 3,$O(n)$,"Derived: Computing and storing $f_{d,l}$ for each $n$ elements",1,0,,0,,1,$\epsilon = o(1)$,0,0,,0,0,,"an optimal binary search tree (Optimal BST); sometimes called a weight-balanced
 binary tree; is a binary search tree which provides the smallest possible search
 time (or expected search time) for a given sequence of accesses
 (or access probabilities). Optimal BSTs are generally divided
 into two types: static and dynamic.",,,,,,,,,,63095,,,,,,,,,1,,,Combinatorics,FALSE
49,Nearest Neighbor Search,2,,k-ANNS,419,,,1,0,$O(n \log n)$,,,[https://doi.org/10.1109/TPAMI.2018.2889473 Hierarchical Navigable Small World (HNSW) (2018)],Hierarchical Navigable Small World (HNSW),2018,https://doi.org/10.1109/TPAMI.2018.2889473,10.1109/TPAMI.2018.2889473,"['Yu A. Malkov', 'D. A. Yashunin']",2,['Efficient and Robust Approximate Nearest Neighbor Search Using Hierarchical Navigable Small World Graphs'],,,,0,0,4,n: 4,$O(n \log n)$,11,"$n$: number of elements
$M$: heuristic choice -- number of closest neighbors for a part of the algo",n,,,,bytes of memory,1,"n: 1,
M: 3",$O(M)$,"https://arxiv.org/abs/1603.09320, ""Memory usage is proportional to choice of $M$""",0,1,,0,,1,? experimental results,1,0,,0,0,,,,,,,,,,,,9965,,,,,,,,,4,,,Combinatorics,FALSE
49,Nearest Neighbor Search,2,,k-ANNS,420,,,1,0,"$O(nLkt)$ [pre-processing]
$O(L(kt+dnP_2^k))$ [query-time]",,,[http://infolab.stanford.edu/~ullman/mmds/ch3n.pdf Locality-sensitive hashing (2010)],Locality-sensitive hashing,2010,http://infolab.stanford.edu/~ullman/mmds/ch3n.pdf,,"['Jure Leskovec', 'Anand Rajaraman', 'Jeffrey David Ullman']",3,['Finding Similar Items'],,,,0,0,3,"n: 3,
k: 3,
L: 3,
t: 3,
d: 3","$O(nLkt)$ [pre-processing]
$O(L(kt+dnP_2^k))$ [query-time]",,"$n$: number of elements
$L$: number of hash tables
$k$: width parameter
$t$: time to evaluate a function
$d$: dimensionality of the data
$P_1, P_2$: Probabilities inherent in the hash functions
$c$: approximation factor",n,,,,hash table cells,3,"n: 3,
L: 3",$O(nL)$,https://en.wikipedia.org/wiki/Locality-sensitive_hashing#LSH_algorithm_for_nearest_neighbor_search,0,0,,0,,1,$c$,0,0,,0,0,https://en.wikipedia.org/wiki/Locality-sensitive_hashing#LSH_algorithm_for_nearest_neighbor_search,,,,,,,,,,,9965,,,,,,,,,4,,,Combinatorics,FALSE
49,Nearest Neighbor Search,2,,k-ANNS for a dense 3D map of geometric points,421,,,1,0,$O(k)$,,,[http://www.araa.asn.au/acra/acra2013/papers/pap148s1-file1.pdf Projected radial search (2013)],Projected radial search,2013,http://www.araa.asn.au/acra/acra2013/papers/pap148s1-file1.pdf,,"['Alex Bewley, 'Ben Upcroft']",2,['Advantages of Exploiting Projection Structure for Segmenting Dense 3D Point Clouds'],,,,0,0,3,k: 3,$O(n \log n)$?,,"$n$: number of elements
$k$: number of neighbors to find",n,,1,Word RAM,words,3,n: 3,$O(n)$,"Derived: There are 5 local variables, one of which is a list",1,0,,0,,1,?,0,0,,0,0,,,,,,,,,,,,1000,,,,,,,,,4,,,Combinatorics,FALSE
49,Nearest Neighbor Search,2,,k-ANNS,422,,,1,0,Varies by codebook structure,,,[ Compression/Clustering [Vector Quantization] (1992)],Compression/Clustering [Vector Quantization],1992,,,[],0,,,,,1,5->6,3,n: 3,Varies by codebook structure,,$n$: number of elements,n,,,,,#VALUE!,,Varies by codebook structure,Table 2,0,0,,0,,1,,0,0,,0,0,,,,,,,,,,,,1000,,,,,,,,,4,,,Combinatorics,FALSE
66,The Subset-Sum Problem,2,Subset Sum,Subset Sum,546,,,1,1,$O(nt/\log t)$,,,[https://link.springer.com/article/10.1007/s00453-002-0989-y Pisinger (2003)],Pisinger,2003,https://link.springer.com/article/10.1007/s00453-002-0989-y,10.1007/s00453-002-0989-y,['Pisinger'],1,['Dynamic Programming on the Word RAM'],,,,0,0,8,"n: 8,
t: 4",$O(nt/\log t)$,1000,"$n$: number of elements in the set
$t$: target sum",n,,,Word RAM,words,1,"n: 1,
t: 2.5",$O(t/\log t)$,https://link.springer.com/article/10.1007/s00453-002-0989-y,0,1,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,Combinatorics,TRUE
66,The Subset-Sum Problem,2,Subset Sum,Subset Sum,547,,,1,1,$O(n' t)$,,,[https://doi.org/10.1287/opre.21.1.332 Faaland (1973)],Faaland,1973,https://doi.org/10.1287/opre.21.1.332,10.1287/opre.21.1.332,['Bruce Faaland'],1,['Technical Note—Solution of the Value-Independent Knapsack Problem by Partitioning'],,,,0,0,8,"n: 8,
n': 8,
t: 3",$O(n' t)$,1000,"$n'$: number of distinct elements in the set
$t$: target sum",n,,,,,1,"n: 1,
t: 3",$O(t)$,https://doi.org/10.1287/opre.21.1.332,0,1,,0,,0,,0,0,,0,0,"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",,,,,,,,,,,,,,,,,,,,1,Dynamic Programming,,Combinatorics,TRUE
