 ,Family Name,"Looked at? (0 - no, 0.001 - briefly but seems to have issues, 1 - partially, 2 - [mostly] yes)",Subproblem (currently only for Parallel Algos),Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,Citation,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity (Auxiliary),Space Complexity Class,Space Complexity Reference,Derived Space Complexity?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,n = 1000 value,n = 1000 scale,n = 10^6 value,n = 10^6 scale,n = 10^9 value,n = 10^9 scale,Starting Complexity,Remarks,Papers for ratio evaluations,Domains,,,,,,,,,,,,,,,,,,,,,,
,Graph Diameter,1,,"Arbitrary edge weights, Dense graph",1041,,,1,1,O(V^3 / 2^(logV)^0.5),,,[- Dense APSP algorithm (-)],Dense APSP algorithm,-,-,,,,,,,O(V^3 / 2^(logV)^0.5),,"V: number of vertices
E: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graph Diameter,1,,"Arbitrary edge weights, Sparse graph",1042,,,1,1,O(V^2logV+VE),,,[- Sparse APSP algorithm (-)],Sparse APSP algorithm,-,-,,,,,,,O(V^2logV+VE),,"V: number of vertices
E: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graph Diameter,1,,Unweighted,1043,,,1,1,O(V^omega log(V)) where omega is the exponent on matrix multiplication,,,[- Binary representation search with matrix multiplication (-)],Binary representation search with matrix multiplication,-,-,,,,,,,O(V^omega log(V)) where omega is the exponent on matrix multiplication,,"V: number of vertices
E: number of edges",,,Word RAM,words,O(V^2 logV),,storing all the matrices,,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graph Diameter,1,,Bounded integer weights,1044,,,1,1,"O(M*V^omega*polylog(M, V))",,,"[https://dl.acm.org/doi/abs/10.1145/2736283 Cygan, Gabow, Sankowski (2012)]","Cygan, Gabow, Sankowski",2012,https://dl.acm.org/doi/abs/10.1145/2736283,,,,,,,"O(M*V^omega*polylog(M, V))",,"V: number of vertices
E: number of edges
M: maximum absolute value of edge weight",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication,1045,,,1,1,,,,,Output-Sensitive Quantum BMM,2018,"https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 1.6",,,,,,,"O*( \min \{n^{1/3} L^{17/30}, n^{1.5} L^{1/4}\})",,"$n$: dimension of the two square matrices
$L$: the number of 1's in the output matrix",,,Query Complexity,,,,,,,1,,0,,0,0,,1,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication (Combinatorial),1046,,,1,1,,,,,,2018,"https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 1.4",,,,,,,O(n^3 / log^2.25 n),,$n$: dimension of the two square matrices,,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication,1047,,,1,1,O(n^2),uniform (p=0.5),"https://core.ac.uk/download/pdf/82467126.pdf, Theorem 3.1",,O'Neil 1973,1973,https://core.ac.uk/download/pdf/82467126.pdf,,,,,,,O(n^3),,$n$: dimension of the two square matrices,,,,,,,,,,0,,0,,0,0,,0,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication (Combinatorial),1048,,,1,1,,,,[https://scholar.google.com/scholar?hl=en&as_sdt=0%2C22&q=On+economical+construction+of+the+transitive+closure+of+an+oriented+graph.&btnG= Method of Four Russians (1970)],Method of Four Russians,1970,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C22&q=On+economical+construction+of+the+transitive+closure+of+an+oriented+graph.&btnG=,,,,,,,O(n^3/(log n)^2),,$n$: dimension of the two square matrices,,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication (Combinatorial),1049,,,1,1,,,,"[https://ieeexplore.ieee.org/abstract/document/5438580 Bansal, Williams (2009)]","Bansal, Williams",2009,https://ieeexplore.ieee.org/abstract/document/5438580,,,,,,,O(n^3 * (log log n)^2 / log^2.25 n),,$n$: dimension of the two square matrices,,,Word RAM with word size w = log n,words,,,,,,1,Las Vegas,0,,0,0,,0,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication (Combinatorial),1050,,,1,1,,,,"[https://ieeexplore.ieee.org/abstract/document/5438580 Bansal, Williams (2009)]","Bansal, Williams",2009,https://ieeexplore.ieee.org/abstract/document/5438580,,,,,,,O(n^3 * (log log n)^2 / (w * (log n)^7/6)),,"$n$: dimension of the two square matrices
$w$: size of word",,,Word RAM with word size w > log n,words,,,,,,1,Las Vegas,0,,0,0,,0,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication (Combinatorial),1051,,,1,1,,,,[https://epubs.siam.org/doi/abs/10.1137/1.9781611973730.16 Chan (2015)],Chan,2015,https://epubs.siam.org/doi/abs/10.1137/1.9781611973730.16,,,,,,,O(n^3 * (log log n)^3 / log^3 n),,$n$: dimension of the two square matrices,,,Word RAM with word size w = log n,words,,,,,,0,,0,,0,0,,0,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication (Combinatorial),1052,,,1,1,,,,[https://epubs.siam.org/doi/abs/10.1137/1.9781611973730.16 Chan (2015)],Chan,2015,https://epubs.siam.org/doi/abs/10.1137/1.9781611973730.16,,,,,,,O(n^3 * (log w)^3 / (w * log^2 n)),,"$n$: dimension of the two square matrices
$w$: size of word",,,Word RAM with word size w > log n,words,,,,,,0,,0,,0,0,,0,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
6,Matrix Product,1,,Boolean Matrix Multiplication (Combinatorial),1053,,,1,1,,,,[https://www.sciencedirect.com/science/article/pii/S0890540118300099 Yu (2015)],Yu,2015,https://www.sciencedirect.com/science/article/pii/S0890540118300099,,,,,,,O(n^3*poly(log log n)/log^4 n),,"$n$: dimension of the two square matrices
$w$: size of word",,,Word RAM with word size w = Omega(log n),words,,,,,,0,,0,,0,0,,0,0,,"boolean matrix multiplication is the multiplication of two boolean matrices, i.e. matrices with entries over the two-element boolean algebra, such that $A\times B = C$ where $C_{i,j} = \bigvee\limits_{k = 1}^{n} (A_{i,k} \wedge B_{k,j})$",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Online Matrix Vector Multiplication (OMV),1,,,1054,,,1,1,O(n^3 / (log n)^2),,,[http://www.cs.cmu.edu/~./theorylunch/pastSemesterIndices/slides/20070117.pdf Williams (2007)],Williams,2007,http://www.cs.cmu.edu/~./theorylunch/pastSemesterIndices/slides/20070117.pdf,,,,,,,O(n^3 / (log n)^2),,n: dimension of matrix and vector,,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Online Matrix Vector Multiplication (OMV),1,,,1055,,,1,1,O(n^3 / 2^(Omega(sqrt(log n)))),,,"[https://epubs.siam.org/doi/abs/10.1137/1.9781611974782.142 Larsen, Williams (Theorem 1.1) (2017)]","Larsen, Williams (Theorem 1.1)",2017,https://epubs.siam.org/doi/abs/10.1137/1.9781611974782.142,,,,,,,O(n^3 / 2^(Omega(sqrt(log n)))),,n: dimension of matrix and vector,,,Word RAM,words,,,,,,1,Monte Carlo,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Online Matrix Vector Multiplication (OMV),1,,,1056,,,1,1,O(n^(11/4) / sqrt(log n)),,,"[https://epubs.siam.org/doi/abs/10.1137/1.9781611974782.142 Larsen, Williams (follows from Theorem 2.1) (2017)]","Larsen, Williams (follows from Theorem 2.1)",2017,https://epubs.siam.org/doi/abs/10.1137/1.9781611974782.142,,,,,,,O(n^(11/4) / sqrt(log n)),,n: dimension of matrix and vector,,,Cell Probe,words,,,,,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Negative Triangle,0,,,1057,,,,,,,,,,2018,"https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting - Comparison,1,,,1058,,,1,1,O(logn),,,[https://epubs.siam.org/doi/abs/10.1137/0217049 Parallel Merge Sort - Cole (1) (1988)],Parallel Merge Sort - Cole (1),1988,https://epubs.siam.org/doi/abs/10.1137/0217049,,,,,,,O(logn),,n: size of list,,,CREW PRAM,words,,,,,,0,,0,,0,1,O(n),0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,4,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
1,Sorting - Comparison,1,,,1059,,,1,1,O(logn),,,[https://epubs.siam.org/doi/abs/10.1137/0217049 Parallel Merge Sort - Cole (2) (1988)],Parallel Merge Sort - Cole (2),1988,https://epubs.siam.org/doi/abs/10.1137/0217049,,,,,,,O(logn),,n: size of list,,,EREW PRAM,words,,,,,,0,,0,,0,1,O(n),0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,4,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,2,Max Flow,,1060,,,1,1,O(V^3),(see max flow in sheet1),,[https://eprints.utas.edu.au/160/1/iplFlow.pdf MKM Algorithm (1978)],MKM Algorithm,1978,https://eprints.utas.edu.au/160/1/iplFlow.pdf,,,,,0,,O(V^3),,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E),"V: 5,
E: 3",https://core.ac.uk/download/pdf/81946904.pdf,,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,2,Max Flow,,1061,,,1,1,O(V^{(5/3)}E^{(2/3)}),(see max flow in sheet1),,[https://link.springer.com/article/10.1007/BF00264254 Galil (1978)],Galil,1978,https://link.springer.com/article/10.1007/BF00264254,,,,,0,,O(V^(5/3)E^(2/3)),,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,Word RAM,words,O(E),"V: 5,
E: 3",https://link.springer.com/article/10.1007/BF00264254,,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,2,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
