 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,1,Comparison Sorting,,,,,,,,,,odd-even sort - Batcher,1968,https://link.springer.com/article/10.1007/BF00991185,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,sorting network,510,,,,,,,,,,,,,,1,$O(n \log^2{n})$,12,,,"first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167 
mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf)
classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329
also https://link.springer.com/chapter/10.1007/BFb0028577",,,1,n is the size of the array to be sorted.,,,,,,,,99,10101.0101,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,,,,,,,,,,Bitonic sort - Batcher,1968,https://dl.acm.org/doi/abs/10.1145/1468075.1468121,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,,,sorting network,510,,,,,,,,,,,,,,1,$O(n \log^2{n})$,12,,,"mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref
also https://link.springer.com/chapter/10.1007/BFb0028577",,,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,,"network sorting algo, perfect shuffle",,,,,,,,Batcher's bitonic sort using perfect shuffle - Stone,1971,https://ieeexplore.ieee.org/abstract/document/1671798,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log{n})$,11,,,n: size of list,,https://ieeexplore.ieee.org/abstract/document/1671798,,sorting network,510,,,,,,,,,,,,,,1,$n/2$,10,,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,Rezaul: The first O(log(n))-depth sorting network (AKS) was not discovered until 1983. -error should be resolved now,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,"n-sorter network, generalization of divide-sort-merge strategy",,,,,,,,Van Voorhis,1971,https://apps.dtic.mil/sti/citations/AD0737270,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref,,sorting network,510,,,,,,,,,,,,,,1,$0.25 n \log^2{n}-0.372 n \log{n}+O(n)$,12,,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Shellsort on sorting networks- Pratt,1972,https://apps.dtic.mil/sti/citations/AD0740110 (pdf page 42 ish),1/1.58,,https://apps.dtic.mil/sti/citations/AD0740110,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,,,sorting network,510,,,,,,,,,,,,,,1,$n/2$,10,,,,,"Rezaul: Should be O(n log^2(n)) work. -corrected, should be resolved",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,external parallel sorting,,,,,,,,parallel tape sort - Even (1),1974,https://dl.acm.org/doi/abs/10.1145/360924.360941,,,,,,,,$O(n/p \log{n} + n)$,$O(n)$,10,,$O(n \log{n})$,11,,yes,"n: size of list
p: number of processors",,,,external sorting,610,,,,,,,,,,,,,,1,$p$,,,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,"Rezaul: This should be O(n log(n) ) which is found as follows: n work in step 1, p x (n/p) log(n/p) work in step 2, and sum_{i = 1}^{log_{2}(p)}{ ( p/(2^i) ) * (2^i) n / } = n log_2{p} work in step 3. - corrected, should be resolved",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,external parallel sorting,,,,,,,,parallel tape sort - Even (2),1974,https://dl.acm.org/doi/abs/10.1145/360924.360941,,,,,,,,$O(n)$,$O(n)$,10,,$O(n \log{n})$,11,,yes,n: size of list,,,,external sorting,610,,,,,,,,,,,,,,1,$O(\log{n})$,1,,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Parallel Neighborhood sort - Baudet, Stevenson",1975,https://kilthub.cmu.edu/articles/Optimal_sorting_algorithms_for_parallel_computers/6608162/files/12099023.pdf,,,,,,,,$O(n \log{n}/p +n)$,$O(n)$,10,,$O(n \log{n})$,11,https://kilthub.cmu.edu/articles/Optimal_sorting_algorithms_for_parallel_computers/6608162/files/12099023.pdf,"if p=log n
""optimal"" - 
speedup=p
efficiency=1","n: size of list
p: number of processors",,,,SIMD; MIMD,200,,,,,,,,,,,,,,1,$p=\log{n}$,1,,,,,"Rezaul: SIMD bounds hold for MIMD models (standard parallel machines), too. -added MIMD to model",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,"shared memory parallel sorting, enumeration",,,,,,,,Muller and Preperata,1975,https://dl.acm.org/doi/pdf/10.1145/321879.321882,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n^2)$,20,,,n: size of list,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,sorting network,510,,,,,,,,,,,,,,1,$O(n^2)$,20,,,"first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167, mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref",,Rezaul: Work is O(n^2). -resolved,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Parallel Merge Sort - Valiant,1975,https://epubs.siam.org/doi/abs/10.1137/0204030,2,,https://epubs.siam.org/doi/pdf/10.1137/0204030?casa_token=UiBbWdfpwegAAAAA:D84jdC5HgN5YT4KlqkvEciBliGO5xPhV0FmuCPVlrcB_080MiEp1BwMqBM2Fbo92Qu7BIg7dpg,,,,,"O(n log(n) / p + log(p) log( n log(p) / p)) if 1<p<n
O(log n log(p/n) loglog n loglog (p/n)) if 4<=2n<p<=n(n-1)/2",$O(\log{n} \log{\log{n}})$,1.1,,$O(n \log{n}),11,https://epubs.siam.org/doi/abs/10.1137/0204030,,"n: size of list
p: number of processors",,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,Valiant's Parallel Comparison Tree Model,600,,,,,,,,,,,,,,1,p,,,,first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,"Rezaul: The model is called Valiant's ""Parallel Comparison Tree Model"", see, e.g., https://ieeexplore.ieee.org/document/4568241    ------ For 1 < p < n, parallel time <= (n log(n)) / p + 2 log(p) log( n log(p) / p)     ---- the paper gives a bound for the 4 <= 2n < p <= n(n - 1)/2 case as well. -expanded info on time, should be reolved now (also wrote in model)",,,,,,,,,,,,,,,,,,,,,,
