,X.2,name,Cores,Frequency_GHz,Turbo_1core,L2_MiB,L3_MiB,TDP_W,Launched,Price,GPU_Frequency_MHz,Memory,Mobile,HPC_or_server,Firm,Transistors,Die_size,Desktop.x,Model,Process_nm,Threads,MaxMemoryGiB,Turbo_2core,Turbo_3core,Turbo_4core,Turbo_Max,GPU,GPU_Turbo_MHz,date,price,X,Type,Release.Date,Process.Size..nm.,TDP..W.,Die.Size..mm.2.,Transistors..million.,Freq..MHz.,Foundry,Vendor,FP16.GFLOPS,FP32.GFLOPS,FP64.GFLOPS,Desktop.y,Server,Desktop,Density,Speed,Energy_efficiency,Dennard_l,Dennard_r,real_Price,real_price,log_Density,I(log_Density^2),log_Energy_efficiency,I(log_Energy_efficiency^2),log_Speed,I(log_Speed^2),log_L2_MiB,I(log_L2_MiB^2),log_Cores,I(log_Cores^2),Num_processors,HPC_or_server2
1015,1015,Intel Celeron E1500,2,2.2,NA,0.488281088,NA,65,3/20/15,53,NA,,0,0,Intel,105,77,1,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,3/20/15,25.99,1070,CPU,11/30/08,65,65,77,105,2200,Intel,Intel,NA,NA,NA,1,0,1,1.363636364,2.2,3.553846154,NA,0,32.4620298,32.4620298,0.310154928,0.09619608,1.268030441,1.607901198,0.78845736,0.621665009,-0.716864039,0.51389405,0.693147181,0.480453014,,0
23982,23982,Intel Xeon L3406,2,2.27,2.53,0.2441405,3.814696,0.6,7/2/16,8.06E+19,NA,2 × DDR3-1066,0,1,Intel,382,81,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7/2/16,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.716049,2.27,1445.233,NA,0,349.7256,349.7256,1.550971373,2.405512199,7.276025833,52.94055193,0.819779831,0.672038972,-1.4100114,1.988132147,0.693147181,0.480453014,1,1
32788,32788,Intel Xeon E5-2403,4,1.8,NA,0.2441405,9.53674,80,1/10/13,188,NA,3× DDR3-1066,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1/10/13,219.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,1.8,28.575,NA,0,274.7719,274.7719,1.463192437,2.140932109,3.35253221,11.23947222,0.587786665,0.345493163,-1.4100114,1.988132147,1.386294361,1.921812056,2,1
32864,32864,Intel Xeon E5-2407,4,2.2,NA,0.2441405,9.53674,80,2/13/13,250,NA,3× DDR3-1066,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2/13/13,264.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,2.2,34.925,NA,0,330.9778,330.9778,1.463192437,2.140932109,3.553202905,12.62525089,0.78845736,0.621665009,-1.4100114,1.988132147,1.386294361,1.921812056,2,1
33021,33021,Intel Xeon E5-2420,6,1.9,334.455,0.2441405,0.01430511,95,6/12/12,387,NA,3× DDR3-1333,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6/12/12,399.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,1.9,25.4,NA,0,499.5955,499.5955,1.463192437,2.140932109,3.234749174,10.46360222,0.641853886,0.411976411,-1.4100114,1.988132147,1.791759469,3.210401996,2,1
33273,33273,Intel Xeon E5-2430,6,2.2,334.455,0.2441405,0.01430511,95,11/4/12,551,NA,3× DDR3-1333,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11/4/12,569.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,2.2,29.41053,NA,0,711.9289,711.9289,1.463192437,2.140932109,3.381352773,11.43354658,0.78845736,0.621665009,-1.4100114,1.988132147,1.791759469,3.210401996,2,1
33475,33475,Intel Xeon E5-2440,6,2.4,334.455,0.2441405,0.01430511,95,11/13/14,832,NA,3× DDR3-1333,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11/13/14,794.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,2.4,32.08421,NA,0,992.9584,992.9584,1.463192437,2.140932109,3.468364009,12.0295489,0.875468737,0.76644551,-1.4100114,1.988132147,1.791759469,3.210401996,2,1
33516,33516,Intel Xeon E5-2430L,6,2,334.455,0.2441405,0.01430511,60,3/31/12,662,NA,3× DDR3-1333,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3/31/12,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,2,42.33333,NA,0,826.8512,826.8512,1.463192437,2.140932109,3.745574719,14.02932998,0.693147181,0.480453014,-1.4100114,1.988132147,1.791759469,3.210401996,2,1
33520,33520,Intel Xeon E5-2450,8,2.1,55667.79,0.2441405,0.01907348,95,6/4/16,1107,NA,3× DDR3-1600,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6/4/16,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,2.1,28.07368,NA,0,874.314,874.314,1.463192437,2.140932109,3.334832483,11.12110769,0.741937345,0.550471024,-1.4100114,1.988132147,2.079441542,4.324077125,2,1
33562,33562,Intel Xeon E5-2470,8,2.3,55667.79,0.2441405,0.01907348,95,10/8/13,1440,NA,3× DDR3-1600,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10/8/13,1479.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,2.3,30.74737,NA,0,1848.537,1848.537,1.463192437,2.140932109,3.425804462,11.73613621,0.832909123,0.693737607,-1.4100114,1.988132147,2.079441542,4.324077125,2,1
33620,33620,Intel Xeon E5-2450L,8,1.8,22334.46,0.2441405,0.01907348,70,8/23/21,1106,NA,3× DDR3-1600,0,1,Intel,1270,294,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8/23/21,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.319728,1.8,32.65714,NA,0,149.8824,149.8824,1.463192437,2.140932109,3.486063515,12.15263883,0.587786665,0.345493163,-1.4100114,1.988132147,2.079441542,4.324077125,2,1
33624,33624,Intel Xeon E5-1603,4,2.8,NA,0.2441405,9.53674,130,4/8/14,198,NA,4× DDR3-1066,0,1,Intel,1860,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4/8/14,219.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.553606,2.8,40.06154,NA,0,274.7719,274.7719,2.022025065,4.088585364,3.690416772,13.61917595,1.029619417,1.060116144,-1.4100114,1.988132147,1.386294361,1.921812056,1,1
33650,33650,Intel Xeon E5-1607,4,3,NA,0.2441405,9.53674,130,4/18/17,244,NA,4× DDR3-1066,0,1,Intel,1860,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4/18/17,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.553606,3,42.92308,NA,0,34.34805,34.34805,2.022025065,4.088585364,3.759409677,14.13316112,1.098612289,1.206948961,-1.4100114,1.988132147,1.386294361,1.921812056,1,1
33668,33668,Intel Xeon E5-1620,4,3.6,1.122,0.2441405,9.53674,130,10/18/12,294,NA,4× DDR3-1600,0,1,Intel,1860,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10/18/12,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.553606,3.6,51.50769,NA,0,367.2119,367.2119,2.022025065,4.088585364,3.941731117,15.5372442,1.280933845,1.640791516,-1.4100114,1.988132147,1.386294361,1.921812056,1,1
34004,34004,Intel Xeon E5-1650,6,3.2,334.566,0.2441405,0.01144409,130,4/26/12,583,NA,4× DDR3-1600,0,1,Intel,1860,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4/26/12,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.553606,3.2,45.78462,NA,0,728.1787,728.1787,2.022025065,4.088585364,3.823948227,14.62258004,1.16315081,1.352919806,-1.4100114,1.988132147,1.791759469,3.210401996,1,1
34056,34056,Intel Xeon E5-1660,6,3.3,334.466,0.2441405,0.01430511,130,7/8/12,1080,NA,4× DDR3-1600,0,1,Intel,1860,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7/8/12,1069.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.553606,3.3,47.21538,NA,0,1336.439,1336.439,2.022025065,4.088585364,3.854719687,14.85886387,1.193922468,1.425450861,-1.4100114,1.988132147,1.791759469,3.210401996,1,1
34138,34138,Intel Xeon E5-2603,4,1.8,NA,0.2441405,9.53674,80,9/23/12,198,NA,4× DDR3-1066,0,1,Intel,1270,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9/23/12,209.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.15757,1.8,28.575,NA,0,262.2817,262.2817,1.640465538,2.691127182,3.35253221,11.23947222,0.587786665,0.345493163,-1.4100114,1.988132147,1.386294361,1.921812056,2,1
34678,34678,Intel Xeon E5-2609,4,2.4,NA,0.2441405,9.53674,80,4/25/12,294,NA,4× DDR3-1066,0,1,Intel,1270,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4/25/12,299.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.15757,2.4,38.1,NA,0,374.6935,374.6935,1.640465538,2.691127182,3.640214282,13.25116002,0.875468737,0.76644551,-1.4100114,1.988132147,1.386294361,1.921812056,2,1
35090,35090,Intel Xeon E5-2643,4,3.3,1.122,0.2441405,9.53674,130,11/13/14,885,NA,4× DDR3-1600,0,1,Intel,1270,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11/13/14,839.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.15757,3.3,32.23846,NA,0,1049.164,1049.164,1.640465538,2.691127182,3.47316015,12.06284143,1.193922468,1.425450861,-1.4100114,1.988132147,1.386294361,1.921812056,2,1
35326,35326,Intel Xeon E5-2620,6,2,334.455,0.2441405,0.01430511,95,4/25/12,406,NA,4× DDR3-1333,0,1,Intel,1270,246.24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4/25/12,419.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.15757,2,26.73684,NA,0,524.5759,524.5759,1.640465538,2.691127182,3.28604239,10.79807459,0.693147181,0.480453014,-1.4100114,1.988132147,1.791759469,3.210401996,2,1
